Date,Open,High,Low,Close,Adj Close,Volume,Unemp Rate%,Interest Rates
Aug 2016,"2,173.15","2,193.81","2,147.58","2,170.95","2,170.95","75,610,310,000",5,0.66
Sep 2016,"2,171.33","2,187.87","2,119.12","2,168.27","2,168.27","77,023,620,000",4.9,0.79
Oct 2016,"2,164.33","2,169.60","2,114.72","2,126.15","2,126.15","88,445,380,000",4.7,0.9
Nov 2016,"2,128.68","2,214.10","2,083.79","2,198.81","2,198.81","75,344,550,000",4.7,0.91
Dec 2016,"2,200.17","2,277.53","2,187.15","2,278.87","2,278.87","70,576,420,000",4.7,1.04
Jan 2017,"2,251.57","2,300.99","2,241.65","2,363.64","2,363.64","69,260,940,000",4.6,1.16
Feb 2017,"2,285.59","2,371.54","2,271.54","2,362.64","2,362.64","69,260,940,000",4.4,1.15
Mar 2017,"2,380.13","2,400.98","2,322.25","2,362.72","2,362.72","81,664,010,000",4.4,1.15
Apr 2017,"2,362.34","2,398.16","2,328.95","2,384.20","2,384.20","65,369,860,000",4.4,1.16
May 2017,"2,388.50","2,418.71","2,352.72","2,411.80","2,411.80","79,719,460,000",4.3,1.3
Jun 2017,"2,415.65","2,453.82","2,405.70","2,423.41","2,423.41","81,078,810,000",4.3,1.41
Jul 2017,"2,431.39","2,484.04","2,407.70","2,470.30","2,470.30","63,348,090,000",4.4,1.42
Aug 2017,"2,477.10","2,490.87","2,417.35","2,471.65","2,471.65","70,784,900,000",4.3,1.51
Sep 2017,"2,474.42","2,519.44","2,446.50","2,519.36","2,519.36","66,624,120,000",4.2,1.69
Oct 2017,"2,521.20","2,582.98","2,520.40","2,575.26","2,575.26","71,088,550,000",4.2,1.7
Nov 2017,"2,583.21","2,657.74","2,547.58","2,647.58","2,647.58","73,416,960,000",4.1,1.82
Dec 2017,"2,645.10","2,694.97","2,344.58","2,673.61","2,673.61","65,531,700,000",4,1.91
Jan 2018,"2,683.73","2,872.87","2,682.36","2,823.81","2,823.81","77,318,690,000",4.1,1.91
Feb 2018,"2,816.45","2,835.96","2,713.83","2,713.83","2,713.83","79,933,970,000",4,1.95
Mar 2018,"2,715.22","2,801.90","2,532.69","2,640.87","2,640.87","76,803,890,000",4,2.19
Apr 2018,"2,633.45","2,717.49","2,553.80","2,648.05","2,648.05","70,194,700,000",3.8,2.2
May 2018,"2,642.96","2,742.24","2,594.62","2,705.27","2,705.27","77,891,360,000",4,2.27
Jun 2018,"2,718.70","2,791.47","2,691.99","2,705.27","2,705.27","77,891,360,000",3.8,2.4
Jul 2018,"2,704.95","2,848.03","2,698.95","2,816.29","2,816.29","64,898,300,000",3.8,2.41
Aug 2018,"2,821.17","2,916.50","2,796.34","2,901.52","2,901.52","69,523,070,000",3.7,2.42
Sep 2018,"2,896.96","2,940.91","2,864.12","2,913.98","2,913.98","63,031,510,000",3.8,2.39
Oct 2018,"2,926.29","2,939.86","2,603.54","2,711.74","2,711.74","91,930,980,000",3.8,2.38
Nov 2018,"2,717.58","2,815.15","2,690.73","2,760.17","2,760.17","80,620,020,000",3.9,2.4
Dec 2018,"2,790.50","2,800.18","2,346.58","2,506.85","2,506.85","82,620,020,000",4,2.4
Jan 2019,"2,476.96","2,708.95","2,443.96","2,704.10","2,704.10","80,859,870,000",3.8,2.41
Feb 2019,"2,702.32","2,813.49","2,681.83","2,784.49","2,784.49","70,638,770,000",3.8,2.42
Mar 2019,"2,798.22","2,860.31","2,722.27","2,834.40","2,834.40","79,159,660,000",3.7,2.39
Apr 2019,"2,848.63","2,949.52","2,848.63","2,945.83","2,945.83","70,090,370,000",3.6,2.38
May 2019,"2,952.33","2,954.13","2,750.52","2,752.06","2,752.06","77,250,740,000",3.6,2.4
Jun 2019,"2,751.53","2,964.15","2,728.81","2,941.76","2,941.76","71,250,630,000",3.7,2.13
Jul 2019,"2,971.41","3,027.98","2,952.22","2,980.38","2,980.38","70,599,470,000",3.6,2.04
Aug 2019,"2,980.32","3,013.59","2,822.12","2,926.46","2,926.46","80,269,220,000",3.5,1.83
Sep 2019,"2,909.01","3,021.99","2,891.85","2,976.74","2,976.74","74,178,980,000",3.6,1.55
Oct 2019,"2,983.69","3,050.10","2,855.94","3,037.56","3,037.56","77,720,640,000",3.6,1.55
Nov 2019,"3,050.72","3,154.26","2,996.00","3,140.98","3,140.98","72,410,620,000",3.6,1.55
Dec 2019,"3,143.85","3,247.93","2,980.90","3,230.78","3,230.78","72,325,540,000",3.6,1.58
Jan 2020,"3,244.67","3,337.77","2,916.64","3,225.52","3,225.52","77,287,980,000",3.5,0.65
Feb 2020,"3,235.66","3,393.52","2,974.28","2,954.22","2,954.22","84,436,590,000",4.4,0.05
Mar 2020,"2,974.28","3,136.72","2,448.19","2,584.59","2,584.59","162,185,380,000",14.8,0.05
Apr 2020,"2,498.08","2,954.86","2,447.49","2,912.43","2,912.43","123,608,160,000",13.2,0.08
May 2020,"2,869.09","3,068.67","2,766.64","3,044.31","3,044.31","107,135,190,000",11,0.09
Jun 2020,"3,038.78","3,233.13","2,965.66","3,100.29","3,100.29","131,458,880,000",10.2,0.09
Jul 2020,"3,105.92","3,279.99","3,101.17","3,271.12","3,271.12","96,928,130,000",8.4,0.09
Aug 2020,"3,288.26","3,514.77","3,284.53","3,500.31","3,500.31","82,466,520,000",7.8,0.09
Sep 2020,"3,507.44","3,588.11","3,300.45","3,363.00","3,363.00","92,310,780,000",6.8,0.09
Oct 2020,"3,385.87","3,549.85","3,323.94","3,269.96","3,269.96","89,938,980,000",6.7,0.1
Nov 2020,"3,296.20","3,645.99","3,612.54","3,621.63","3,621.63","96,375,680,000",6.7,0.09
Dec 2020,"3,645.87","3,760.20","3,612.54","3,760.20","3,760.20","80,763,810,000",6.4,0.08
Jan 2021,"3,764.61","3,870.90","3,662.71","3,714.24","3,714.24","106,117,800,000",6.2,0.07
Feb 2021,"3,731.17","3,950.43","3,725.62","3,811.15","3,811.15","99,082,320,000",6.1,0.07
Mar 2021,"3,842.51","3,994.41","3,723.34","3,972.89","3,972.89","122,371,150,000",6.1,0.06
Apr 2021,"3,992.78","4,218.78","3,992.78","4,181.17","4,181.17","88,321,860,000",5.8,0.08
May 2021,"4,191.98","4,238.04","4,056.88","4,297.50","4,297.50","102,544,180,000",5.9,0.1
Jun 2021,"4,216.52","4,302.49","3,785.38","3,785.38","3,785.38","106,116,710,000",5.4,0.09
